artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Chris Brown;Gimme That;186826;2005;87.165;hip hop, pop, R&B;0.572;11;-7.033
blackbear;do re mi;212027;2017;111.002;hip hop, pop, Dance/Electronic;0.593;8;-6.35
John Legend;Green Light (feat. André 3000);284186;2008;77.506;pop, R&B;0.882;9;-5.59
Beyoncé;Halo;261640;2008;79.983;pop, R&B;0.72;11;-5.908
Three Days Grace;I Hate Everything About You;231480;2003;89.342;rock, metal;0.83;6;-5.157
Stromae;Papaoutai;232146;2013;116.019;pop;0.818;10;-7.222
Travis Scott;Antidote;262693;2015;131.05;hip hop, Dance/Electronic;0.526;1;-5.046
Mary J. Blige;Be Without You - Kendu Mix;246333;2005;146.559;pop, R&B;0.7;2;-5.881
Imagine Dragons;Radioactive;186813;2012;136.245;rock;0.784;9;-3.686
Taylor Swift;Bad Blood;200106;2015;170.16;pop;0.655;11;-7.388
Eve;Gangsta Lovin';239266;2002;94.332;hip hop, pop, R&B;0.84;1;-3.523
Nicki Minaj;Anaconda;260240;2014;129.994;hip hop, pop;0.605;9;-6.223
Kehlani;Nights Like This (feat. Ty Dolla $ign);201787;2019;146.163;hip hop, pop, R&B;0.725;8;-5.131
Sean Paul;We Be Burnin';213066;2005;117.0;hip hop, pop;0.803;1;-4.195
Martin Garrix;Animals - Radio Edit;176117;2013;128.015;pop, Dance/Electronic;0.914;1;-5.351
Fetty Wap;My Way (feat. Monty);213053;2015;128.077;hip hop, pop;0.741;6;-3.103
Lil Pump;Gucci Gang;124055;2017;119.889;hip hop;0.523;5;-6.71
Justin Timberlake;My Love (feat. T.I.);276160;2006;119.952;pop;0.68;11;-5.881
Shawn Mendes;I Know What You Did Last Summer;223853;2015;113.939;pop;0.761;9;-4.582
Beyoncé;Beautiful Liar;199853;2007;91.977;pop, R&B;0.751;8;-3.74
Avicii;Lonely Together (feat. Rita Ora);181812;2017;102.977;pop, Dance/Electronic;0.666;5;-5.309
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Lily Allen;Not Fair;201213;2009;121.491;pop;0.861;5;-6.982
BTS;Boy With Luv (feat. Halsey);229773;2019;119.991;pop;0.862;11;-4.757
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;175893;2000;72.016;hip hop, pop, R&B;0.75;8;-5.153
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);231866;2005;179.999;hip hop, pop, rock;0.819;1;-3.309
Taylor Swift;Bad Blood;211933;2014;170.216;pop;0.794;7;-6.104
Zara Larsson;Lush Life;202213;2015;98.024;pop, Dance/Electronic;0.741;7;-2.86
Ashanti;Rain On Me;297960;2003;83.701;hip hop, pop, R&B;0.699;8;-3.103
Nelly;Dilemma;289160;2002;168.189;hip hop, pop, R&B;0.552;2;-8.074
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
Jon Bellion;All Time Low;217603;2016;90.246;hip hop, pop;0.567;0;-4.188
Rihanna;We Found Love;215226;2011;127.985;hip hop, pop, R&B;0.766;1;-4.485
Kanye West;Love Lockdown;270306;2008;119.603;hip hop;0.524;1;-7.67
Avril Lavigne;What the Hell;220706;2011;149.976;pop;0.926;6;-3.689
Khalid;Love Lies (with Normani);201707;2018;143.955;pop, R&B;0.648;6;-5.626
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Oasis;Go Let It Out;278666;2000;84.192;Folk/Acoustic, rock;0.849;2;-5.631
Lil Wayne;How To Love;240306;2011;153.992;hip hop, pop;0.661;11;-6.093
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;208386;2003;130.036;pop, Dance/Electronic;0.862;2;-3.587
Lucenzo;Danza Kuduro (feat. Don Omar);213986;2011;130.003;latin;0.942;7;-6.365
Charlie Puth;The Way I Am;186080;2018;114.966;pop;0.769;10;-5.658
DJ Fresh;Gold Dust - Radio Edit;192446;2010;176.985;pop, Dance/Electronic;0.948;0;-0.74
Limp Bizkit;Take A Look Around;321040;2000;101.968;metal;0.852;11;-5.607
One Direction;Story of My Life;245493;2013;121.07;pop;0.663;3;-5.802
Gareth Gates;Unchained Melody;233666;2003;106.52;pop;0.426;10;-8.049
Limp Bizkit;Rollin' (Air Raid Vehicle);213760;2000;96.306;metal;0.933;1;-3.358
Sean Kingston;Fire Burning;239986;2009;122.973;hip hop, pop, R&B;0.804;1;-2.513
Lana Del Rey;High By The Beach;257573;2015;131.988;pop;0.486;11;-11.067
The Prodigy;Omen;216026;2009;140.002;rock, pop, Dance/Electronic;0.953;7;-5.172
Muse;Supermassive Black Hole;212439;2006;120.0;rock;0.921;7;-3.727
Taylor Swift;22;232120;2012;103.987;pop;0.729;7;-6.561
Dave;Location (feat. Burna Boy);241293;2019;109.979;hip hop;0.496;9;-5.969
Michelle Branch;All You Wanted;217680;2001;96.103;pop, Folk/Acoustic;0.72;8;-9.101
Adam Lambert;Ghost Town;208330;2015;119.955;pop;0.736;4;-5.709
Drake;Started From the Bottom;174120;2013;86.307;hip hop, pop, R&B;0.523;8;-7.829
Of Monsters and Men;Little Talks;266600;2012;102.961;pop, rock, Folk/Acoustic;0.757;1;-5.177
Rihanna;Man Down;267000;2010;155.788;hip hop, pop, R&B;0.904;0;-4.024
Miguel;Sure Thing;195373;2010;81.001;pop, R&B;0.607;11;-8.127
Kelly Clarkson;Miss Independent;214773;2003;175.943;pop, R&B;0.615;11;-6.359
Mike Perry;The Ocean (feat. Shy Martin);183414;2016;90.037;pop, Dance/Electronic;0.575;5;-6.478
Taylor Swift;You Belong With Me;231146;2008;129.964;pop;0.771;6;-4.424
Amanda Perez;Angel;218760;2003;143.772;pop, R&B;0.54;0;-6.849
The Weeknd;Starboy;230453;2016;186.054;pop, R&B;0.594;7;-7.028
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;298600;2003;84.038;hip hop, pop;0.724;6;-5.799
Calvin Harris;Feel So Close - Radio Edit;206413;2012;127.937;hip hop, pop, Dance/Electronic;0.924;7;-2.842
Rihanna;What's My Name?;263173;2010;100.025;hip hop, pop, R&B;0.786;2;-2.959
O-Zone;Dragostea Din Tei;215431;2004;130.103;pop;0.965;0;-3.947
Lana Del Rey;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;214912;2013;126.052;pop;0.81;1;-5.791
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324306;2002;85.996;hip hop, pop;0.759;6;-4.315
blink-182;All The Small Things;167066;1999;148.726;rock, pop;0.897;0;-4.918
Lauv;I Like Me Better;197436;2018;91.97;pop, Dance/Electronic;0.505;9;-7.621
Flo Rida;Wild Ones (feat. Sia);232946;2012;127.075;hip hop, pop;0.86;5;-5.324
Oliver Heldens;Gecko (Overdrive) - Radio Edit;165440;2014;124.959;pop, Dance/Electronic;0.885;0;-5.469
Post Malone;Circles;215280;2019;120.042;hip hop;0.762;0;-3.497
Felix Jaehn;Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);186146;2018;117.971;hip hop, pop, Dance/Electronic;0.566;2;-6.959
Eminem;Crack A Bottle;297520;2009;169.561;hip hop;0.874;9;-2.571
The Vamps;All Night;197640;2017;144.992;pop;0.804;8;-5.194
BØRNS;Electric Love;218173;2015;120.063;rock, pop;0.858;6;-6.536
Sean Paul;No Lie;221176;2018;102.04;hip hop, pop;0.882;7;-2.862
Eminem;Love The Way You Lie;263373;2010;86.989;hip hop;0.925;10;-5.034
Travis;Sing;228800;2001;163.142;rock, pop;0.905;4;-5.047
Snoop Dogg;Sweat - Remix;195986;2011;130.02;hip hop, pop;0.732;7;-5.636
Alex Clare;Too Close;256613;2011;126.027;rock;0.694;11;-4.278
David Guetta;2U (feat. Justin Bieber);194896;2017;144.937;hip hop, pop, Dance/Electronic;0.65;8;-5.827
Swedish House Mafia;One (Your Name) - Radio Edit;163246;2010;125.061;pop, Dance/Electronic;0.673;9;-6.572
Kanye West;Mercy;329320;2012;139.993;hip hop;0.496;6;-9.381
Hot Chelle Rae;Tonight Tonight;200466;2011;99.978;hip hop, pop, rock;0.783;4;-4.977
Lil Uzi Vert;XO Tour Llif3;182706;2017;155.096;hip hop;0.75;11;-6.366
Agnes;Release Me;256213;2009;127.973;pop, Dance/Electronic;0.923;2;-3.124
Ciara;Promise;267413;2006;123.279;pop, R&B;0.629;9;-5.757
Gorillaz;DARE;244999;2005;120.264;hip hop;0.891;11;-5.852
Rihanna;What's My Name?;263173;2010;100.025;hip hop, pop, R&B;0.786;2;-2.959
5 Seconds of Summer;Easier;157492;2019;175.813;pop;0.428;5;-5.604
Houston;I Like That;236520;2004;106.997;hip hop, pop;0.502;10;-3.925
Tove Lo;Habits (Stay High);209160;2014;110.003;pop, Dance/Electronic;0.65;5;-3.539
Sean Kingston;Take You There;236693;2008;115.033;hip hop, pop, R&B;0.921;5;-4.321
Logic;Everyday;204746;2018;149.908;hip hop, pop;0.741;1;-4.099
David Guetta;Turn Me On (feat. Nicki Minaj);199680;2012;127.96;hip hop, pop, Dance/Electronic;0.793;8;-2.266
Martin Garrix;Scared to Be Lonely;220883;2017;137.972;pop, Dance/Electronic;0.54;1;-7.786
Emma Bunton;What Took You So Long?;241000;2001;118.011;pop;0.772;9;-5.4
Chris Brown;Loyal (feat. Lil Wayne & Tyga);264946;2014;99.059;hip hop, pop, R&B;0.522;10;-5.963
Justin Bieber;Boyfriend;171333;2012;96.979;pop;0.55;10;-6.019
Flo Rida;Good Feeling;248133;2012;128.011;hip hop, pop;0.89;1;-4.444
Ed Sheeran;Antisocial (with Travis Scott);161746;2019;151.957;pop;0.823;5;-5.313
Justin Bieber;What Do You Mean?;205680;2015;125.02;pop;0.567;5;-8.118
Hinder;Lips Of An Angel;261053;2019;129.005;pop, rock, metal;0.744;2;-5.386
Justin Timberlake;What Goes Around.../...Comes Around (Interlude);448573;2006;76.0;pop;0.723;7;-4.751
Ying Yang Twins;Salt Shaker;252440;2003;101.965;hip hop, pop;0.697;11;-6.022
Nelly Furtado;Turn Off The Light;276106;2000;180.184;hip hop, pop, latin;0.679;2;-6.26
Robbie Williams;Somethin' Stupid;170493;2001;106.191;pop, rock;0.515;0;-12.185
Next;Wifey;243666;2004;99.581;hip hop, pop, R&B;0.652;7;-8.693
Bubba Sparxxx;Ms. New Booty;252653;2005;129.37;hip hop, pop, country;0.62;1;-5.931
Pitbull;I Know You Want Me (Calle Ocho);237120;2009;127.045;hip hop, pop, latin;0.743;2;-5.995
Plan B;She Said;208853;2010;147.007;Dance/Electronic;0.538;3;-5.85
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
Eminem;We Made You;269613;2009;114.003;hip hop;0.853;2;-1.203
Limp Bizkit;Behind Blue Eyes;269973;2003;120.315;metal;0.489;7;-6.66
Kanye West;Can't Tell Me Nothing;271600;2007;80.029;hip hop;0.62;5;-6.133
Beyoncé;Naughty Girl;208600;2003;99.973;pop, R&B;0.466;6;-8.65
Avril Lavigne;My Happy Ending;242413;2004;170.229;pop;0.936;2;-2.407
LMFAO;Party Rock Anthem;262146;2011;130.014;hip hop, pop, Dance/Electronic;0.736;5;-4.168
Meek Mill;Going Bad (feat. Drake);180522;2018;86.003;hip hop, pop;0.496;4;-6.365
The Chemical Brothers;Galvanize;393813;2005;104.003;Dance/Electronic;0.714;7;-3.681
Fuel;Hemorrhage (In My Hands);236866;2000;152.034;rock, pop, metal;0.831;1;-3.894
Calvin Harris;Drinking from the Bottle (feat. Tinie Tempah);240346;2012;128.062;hip hop, pop, Dance/Electronic;0.886;9;-4.175
Lil Nas X;Panini;114893;2019;153.848;hip hop, pop;0.594;5;-6.146
Gwen Stefani;Rich Girl;236213;2004;98.018;pop, R&B;0.754;7;-2.728
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Eminem;River (feat. Ed Sheeran);221013;2017;90.09;hip hop;0.749;8;-5.916
Kanye West;Black Skinhead;188013;2013;130.089;hip hop;0.825;1;-6.107
Creed;One Last Breath - Radio Version;242000;2015;130.581;pop, rock, metal;0.725;2;-6.094
Pitbull;International Love (feat. Chris Brown);227280;2011;120.05;hip hop, pop, latin;0.855;0;-3.035
Storm Queen;Look Right Through - MK Vocal Edit;150400;2014;119.995;Dance/Electronic;0.815;0;-8.035
Jessica Simpson;Irresistible;194026;2001;93.013;pop, R&B;0.965;8;-2.771
Sigma;Nobody To Love - Radio Edit;189720;2014;175.001;pop, Dance/Electronic;0.921;8;-3.32
The Strokes;Reptilia;219826;2003;158.009;rock;0.649;9;-5.11
The Weeknd;In The Night;235653;2015;167.939;pop, R&B;0.682;7;-4.94
OneRepublic;Love Runs Out;224226;2014;120.022;pop;0.935;7;-3.752
Beyoncé;Deja Vu (feat. Jay-Z);240280;2007;105.253;pop, R&B;0.746;7;-4.941
Post Malone;rockstar (feat. 21 Savage);218146;2018;159.801;hip hop;0.52;5;-6.136
T2;Heartbroken - Edit;178613;2017;139.986;Dance/Electronic;0.757;11;-5.438
Eminem;Stan;404106;2000;80.063;hip hop;0.768;6;-4.325
Kygo;Stole the Show;222813;2016;99.886;pop, Dance/Electronic;0.633;8;-6.443
Rae Sremmurd;No Type;200080;2015;125.01;hip hop, pop;0.486;6;-7.803
*NSYNC;It's Gonna Be Me;191040;2000;165.09;pop;0.874;0;-4.666
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
"H ""two"" O";What's It Gonna Be (feat. Platnum);207476;2008;139.61;Dance/Electronic;0.9;9;-4.758
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
OneRepublic;Good Life;253306;2009;94.988;pop;0.69;6;-7.804
Nicole Scherzinger;Don't Hold Your Breath;197440;2011;110.955;pop, Dance/Electronic;0.797;5;-6.096
Jordin Sparks;Tattoo;233466;2007;168.005;pop, R&B;0.766;2;-5.036
Counting Crows;Big Yellow Taxi;225426;2003;88.029;rock, pop;0.873;8;-4.315
Chingy;Right Thurr;250746;2003;92.074;hip hop, pop, R&B;0.749;2;-3.977
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
